UNIVERSITY OF PITTSBURGH,136
CENTRALESUPÉLEC,137
UNIVERSITY OF GHENT,138
UNIVERSITY OF BERN,139
AALTO UNIVERSITY,140
AARHUS UNIVERSITY,141
MICHIGAN STATE UNIVERSITY,142
NEWCASTLE UNIVERSITY,143
CARDIFF UNIVERSITY,145
MCMASTER UNIVERSITY,146
TECHNISCHE UNIVERSITÄT BERLIN,147
EMORY UNIVERSITY,148
UNIVERSITY OF LAUSANNE,150
HANYANG UNIVERSITY,151
UNIVERSITY OF LIVERPOOL,152
ÉCOLE NORMALE SUPÉRIEURE DE LYON,153
HEBREW UNIVERSITY OF JERUSALEM,154
UNIVERSITY OF EXETER,155
UNIVERSITY OF MINNESOTA,157
UNIVERSITY OF BATH,158
UNIVERSIDAD AUTÓNOMA DE MADRID,159
UNIVERSITY OF BASEL,160
UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),161
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),162
NATIONAL TSING HUA UNIVERSITY,163
UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL),165
SCUOLA SUPERIORE SANT'ANNA PISA,167
EBERHARD KARLS UNIVERSITÄT TÜBINGEN,168
INDIAN INSTITUTE OF SCIENCE (IISC) BANGALORE,170
UNIVERSITY OF BERGEN,171
INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),172
UNIVERSITY OF ABERDEEN,173
UNIVERSITY OF TWENTE,174
SCUOLA NORMALE SUPERIORE DI PISA,175
UNIVERSITÄT WIEN,176
UNIVERSITY OF OTAGO,177
TECNOLÓGICO DE MONTERREY (ITESM),178
ERASMUS UNIVERSITY ROTTERDAM,179
QUEEN'S UNIVERSITY OF BELFAST,180
UNIVERSITY OF FLORIDA,182
DARTMOUTH COLLEGE,183
UNIVERSITI KEBANGSAAN MALAYSIA (UKM),184
UNIVERSITY OF ROCHESTER,185
CASE WESTERN RESERVE UNIVERSITY,186
UNIVERSITÄT FREIBURG,187
VRIJE UNIVERSITEIT BRUSSEL (VUB),188
KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),189
UNIVERSITY OF COLORADO AT BOULDER,190
TECHNISCHE UNIVERSITÄT DRESDEN,191
UNIVERSITY OF VIRGINIA,192
UNIVERSITAT AUTÓNOMA DE BARCELONA,193
UNIVERSITY COLLEGE DUBLIN (UCD),194
UNIVERSITY OF READING,195
VANDERBILT UNIVERSITY,196
GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,197
KEIO UNIVERSITY,198
TECHNISCHE UNIVERSITÄT WIEN,199
UNIVERSITY OF CAPE TOWN,201
UNIVERSITI PUTRA MALAYSIA (UPM),202
TEXAS A&M UNIVERSITY,203
RADBOUD UNIVERSITY NIJMEGEN,204
UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),205
UNIVERSIDAD COMPLUTENSE DE MADRID (UCM),206
UNIVERSITI SAINS MALAYSIA (USM),207
NATIONAL CHIAO TUNG UNIVERSITY,208
UNIVERSIDAD DE CHILE,209
WASEDA UNIVERSITY,210
MAASTRICHT UNIVERSITY,211
ARIZONA STATE UNIVERSITY,212
UNIVERSITY OF NOTRE DAME,213
"UNIVERSITY OF ILLINOIS, CHICAGO (UIC)",214
UNIVERSITY OF NEWCASTLE,215
WESTERN UNIVERSITY,216
SAPIENZA - UNIVERSITÀ DI ROMA,217
LOUGHBOROUGH UNIVERSITY,218
UNIVERSITY OF WOLLONGONG,219
AL-FARABI KAZAKH NATIONAL UNIVERSITY,220
SCIENCES PO PARIS,221
VICTORIA UNIVERSITY OF WELLINGTON,222
UNIVERSITÄT HAMBURG,223
UNIVERSITY OF ANTWERP,224
UNIVERSITY OF LEICESTER,225
GEORGETOWN UNIVERSITY,226
UNIVERSITY OF SUSSEX,227
UNIVERSITI TEKNOLOGI MALAYSIA (UTM),228
TEL AVIV UNIVERSITY,230
KING ABDUL AZIZ UNIVERSITY (KAU),231
UNIVERSITY OF CANTERBURY,232
VRIJE UNIVERSITEIT AMSTERDAM,233
NATIONAL CHENG KUNG UNIVERSITY,234
SAINT-PETERSBURG STATE UNIVERSITY,235
ROYAL HOLLOWAY UNIVERSITY OF LONDON,236
AMERICAN UNIVERSITY OF BEIRUT (AUB),237
TUFTS UNIVERSITY,238
QUEEN'S UNIVERSITY,239
UNIVERSITÉ LIBRE DE BRUXELLES (ULB),240
UNIVERSITÉ PARIS-SUD 11,241
UNIVERSIDAD DE NAVARRA,242
UNIVERSITY OF MIAMI,243
NOVOSIBIRSK STATE UNIVERSITY,244
UNIVERSITY OF ARIZONA,246
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,247
UNIVERSITY OF SURREY,248
CURTIN UNIVERSITY,250
MACQUARIE UNIVERSITY,251
RMIT UNIVERSITY,252
TECHNISCHE UNIVERSITÄT DARMSTADT,253
UNIVERSIDAD CARLOS III DE MADRID,254
RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÄT BONN,255
KING SAUD UNIVERSITY (KSU),256
NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,257
WUHAN UNIVERSITY,258
"UNIVERSITY OF MASSACHUSETTS, AMHERST",259
"NATIONAL UNIVERSITY OF IRELAND, GALWAY (NUIG)",260
UNIVERSITÄT STUTTGART,261
UNIVERSITY OF TSUKUBA,262
ECOLE DES PONTS PARISTECH,263
INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),264
KYUNG HEE UNIVERSITY,265
UNIVERSITY OF SOUTH AUSTRALIA (UNISA),267
UNIVERSITY OF STRATHCLYDE,268
UNIVERSITY OF EAST ANGLIA (UEA),269
UNIVERSITY OF GOTHENBURG,270
CHULALONGKORN UNIVERSITY,271
UNIVERSIDAD DE LOS ANDES COLOMBIA,272
UNIVERSITY OF DUNDEE,273
UNIVERSITY OF WAIKATO,274
UNIVERSIDAD NACIONAL DE COLOMBIA,275
UNIVERSITAT POLITÈCNICA DE CATALUNYA,276
HONG KONG BAPTIST UNIVERSITY (HKBU),277
TOMSK STATE UNIVERSITY,278
DALHOUSIE UNIVERSITY,279
NORTH CAROLINA STATE UNIVERSITY,280
UNIVERSITÄT FRANKFURT AM MAIN,281
UNIVERSITÄT INNSBRUCK,282
INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),283
"RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY, NEW BRUNSWICK",284
HARBIN INSTITUTE OF TECHNOLOGY,285
UNIVERSITY OF TURKU,286
UNIVERSITY OF TASMANIA,287
"SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON",288
UNIVERSITÉ GRENOBLE-ALPES (UGA),289
UNIVERSITY OF OTTAWA,290
TONGJI UNIVERSITY,291
BEIJING NORMAL UNIVERSITY,292
NATIONAL YANG MING UNIVERSITY,293
UNIVERSITY OF INDONESIA,294
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP),295
SUN YAT-SEN UNIVERSITY,296
UNIVERSITÉ PARIS DIDEROT - PARIS 7,297
UNIVERSITAT POMPEU FABRA,298
BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,299
UNIVERSITÉ PARIS 1 PANTHÉON-SORBONNE,301
HERIOT-WATT UNIVERSITY,302
LINKÖPING UNIVERSITY,303
UNIVERSITY OF HAWAII AT MĀNOA,304
ECOLE NORMALE SUPÉRIEURE DE CACHAN,305
"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",306
UNIVERSITÄT KÖLN,307
NATIONAL TAIWAN NORMAL UNIVERSITY,308
DEAKIN UNIVERSITY,309
UNIVERSIDAD POLITECNICA DE VALENCIA,310
YESHIVA UNIVERSITY,311
MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY STATE UNIVERSITY,312
UNIVERSITY AT BUFFALO SUNY,313
XI'AN JIAOTONG UNIVERSITY,314
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY (GIST),315
KHALIFA UNIVERSITY,316
CHARLES UNIVERSITY,317
LINCOLN UNIVERSITY,318
EWHA WOMANS UNIVERSITY,319
TILBURG UNIVERSITY,320
HIROSHIMA UNIVERSITY,321
INDIANA UNIVERSITY BLOOMINGTON,323
UNIVERSITY OF BRUNEI DARUSSALAM,324
UNIVERSITÀ DEGLI STUDI DI MILANO,325
NORTHEASTERN UNIVERSITY,326
UNIVERSITÄT JENA,327
UNIVERSITY OF PORTO,328
GRIFFITH UNIVERSITY,329
"NATIONAL RESEARCH NUCLEAR UNIVERSITY ""MEPHI"" (MOSCOW ENGINEERING PHYSICS INSTITUTE)",330
WESTFÄLISCHE WILHELMS-UNIVERSITÄT MÜNSTER,331
BRUNEL UNIVERSITY,332
MASSEY UNIVERSITY,333
QATAR UNIVERSITY,334
UNIVERSITÄT ULM,335
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ (UCSC)",336
UNIVERSITY OF JYVÄSKYLÄ,337
NANKAI UNIVERSITY,338
UMEÅ UNIVERSITY,339
UNIVERSITÄT MANNHEIM,340
UNIVERSITY COLLEGE CORK (UCC),341
VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH),342
AALBORG UNIVERSITY,343
NATIONAL RESEARCH UNIVERSITY - HIGHER SCHOOL OF ECONOMICS (HSE),344
GEORGE WASHINGTON UNIVERSITY,345
RENSSELAER POLYTECHNIC INSTITUTE,346
UNIVERSITY OF UTAH,347
UNIVERSITÉ DE STRASBOURG,348
STONY BROOK UNIVERSITY,349
UNITED ARAB EMIRATES UNIVERSITY,350
CITY UNIVERSITY LONDON,351
KOBE UNIVERSITY,352
TOKYO MEDICAL AND DENTAL UNIVERSITY,353
BELARUS STATE UNIVERSITY,354
MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS – MGIMO UNIVERSITY,355
UNIVERSITY OF ESSEX,356
UNIVERSITY OF KENT,357
UNIVERSITY OF LISBON,358
BANDUNG INSTITUTE OF TECHNOLOGY (ITB),359
UNIVERSITY OF VICTORIA,360
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,361
TAIPEI MEDICAL UNIVERSITY,362
OXFORD BROOKES UNIVERSITY,364
TECHNISCHE UNIVERSITÄT GRAZ,365
TAMPERE UNIVERSITY OF TECHNOLOGY,366
UNIVERSIDAD AUSTRAL,367
UNIVERSITY OF KANSAS,368
JAMES COOK UNIVERSITY (JCU),369
PONTIFICIA UNIVERSIDAD CATÓLICA ARGENTINA SANTA MARÍA DE LOS BUENOS AIRES (UCA),370
UNIVERSITY OF TROMSO,371
RUHR-UNIVERSITÄT BOCHUM,372
TOMSK POLYTECHNIC UNIVERSITY,373
UNIVERSITY OF CONNECTICUT,374
UNIVERSITY OF ST GALLEN (HSG),375
AMERICAN UNIVERSITY OF SHARJAH,376
BOSTON COLLEGE,377
UNIVERSITY OF OULU,378
UNIVERSITY OF SOUTHERN DENMARK,379
MAHIDOL UNIVERSITY,380
ASTON UNIVERSITY,381
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR),382
UNIVERSITY OF THE WITWATERSRAND,383
UNIVERSIDAD DE BELGRANO,384
"UNIVERSITY OF CALIFORNIA, RIVERSIDE (UCR)",385
UNIVERSITY OF THE PHILIPPINES,386
HUFS – HANKUK (KOREA) UNIVERSITY OF FOREIGN STUDIES,387
POLITECNICO DI TORINO,388
SWINBURNE UNIVERSITY OF TECHNOLOGY,389
WAKE FOREST UNIVERSITY,390
UNIVERSITAS GADJAH MADA,391
UNIVERSITY OF LIEGE,392
WASHINGTON STATE UNIVERSITY,393
L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY,394
UNIVERSITY OF WARSAW,395
"GOLDSMITHS, UNIVERSITY OF LONDON",396
CHUNG-ANG UNIVERSITY,397
LA TROBE UNIVERSITY,398
PAKISTAN INSTITUTE OF ENGINEERING AND APPLIED SCIENCES (PIEAS),399
UNIVERSITÄT KONSTANZ,400
UNIVERSITY OF COLORADO AT DENVER,401
LAVAL UNIVERSITY,402
NATIONAL SUN YAT-SEN UNIVERSITY,403
PETER THE GREAT ST.PETERSBURG POLYTECHNIC UNIVERSITY,404
STELLENBOSCH UNIVERSITY,405
UNIVERSIDADE NOVA DE LISBOA,406
BEN GURION UNIVERSITY OF THE NEGEV,407
JOHANNES GUTENBERG UNIVERSITÄT MAINZ,408
UNIVERSIDAD EXTERNADO DE COLOMBIA,409
UNIVERSITY OF COIMBRA,410
JAGIELLONIAN UNIVERSITY,411
TULANE UNIVERSITY,412
UNIVERSIDAD DE ZARAGOZA,413
URAL FEDERAL UNIVERSITY,414
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,415
NATIONAL CENTRAL UNIVERSITY,416
NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST) ISLAMABAD,417
UNIVERSITY OF STIRLING,418
UNIVERSITY OF TENNESSEE,419
AMERICAN UNIVERSITY IN CAIRO,420
UNIVERSIDAD DE PALERMO,421
DUBLIN CITY UNIVERSITY (DCU),422
SHANGHAI UNIVERSITY,423
UNIVERSITÀ DI PISA,424
UNIVERSITÉ DE MONTPELLIER,425
ILLINOIS INSTITUTE OF TECHNOLOGY,426
UNIVERSITY OF TEXAS DALLAS,428
BRANDEIS UNIVERSITY,429
CHANG GUNG UNIVERSITY,430
THE UNIVERSITY OF GEORGIA,431
ABERYSTWYTH UNIVERSITY,432
DONGGUK UNIVERSITY,433
BANGOR UNIVERSITY,435
SOGANG UNIVERSITY,436
SWANSEA UNIVERSITY,437
UNIVERSITY OF IOWA,438
KAZAN FEDERAL UNIVERSITY,439
UNIVERSITY OF DELAWARE,440
WAYNE STATE UNIVERSITY,441
UNIVERSITI TEKNOLOGI BRUNEI,442
BOND UNIVERSITY,443
TIANJIN UNIVERSITY,444
UNIVERSITY OF MACAU,445
NATIONAL TECHNICAL UNIVERSITY OF ATHENS,446
RUDN UNIVERSITY,447
KING KHALID UNIVERSITY,448
KOÇ UNIVERSITY,449
COLORADO STATE UNIVERSITY,450
OREGON STATE UNIVERSITY,451
SULTAN QABOOS UNIVERSITY,452
